name,team,battingStyle,bowlingStyle,playingRole,description
Ahmer Bin Nasir,Bahrain,Right hand Bat,,,
Shahbaz Badar ,Bahrain,Right hand Bat,,Top order Batter,
Shakeel Ahmed,Oman,Left hand Bat,Slow Left arm Orthodox,Bowler,
Gareth Berg(c),Italy,Right hand Bat,Right arm Medium,Bowling Allrounder,"A bustling, brisk seam bowler and middle-order batsman, Gareth Berg learned his cricket in South Africa, playing a handful of one-day games for Western Province B, before moving to live in England and pro on the club scene. "
Bondi Pita,Samoa,,,,
Jose Joao,Mozambique,Right hand Bat,Left arm Medium,,
Aryansh Sharma ,United Arab Emirates,Right hand Bat,,Wicketkeeper Batter,
Phemelo Silas,Botswana,Right hand Bat,Legbreak,,
Josh Inglis,Australia,Right hand Bat,,Wicketkeeper Batter,"Wicketkeeper-batter Josh Inglis, who was born in Leeds before relocating to Australia as a 14-year-old, moved quickly into the national reckoning over the last two years after finding his feet for both Western Australia and Perth Scorchers. A versatile and hard-hitting batter, he enjoyed a breakthrough Sheffield Shield season in 2020-21 with 585 runs including his first three first-class hundreds having previously churned out runs at grade level without quite making the step up. That followed consecutive 400-plus run seasons for Scorchers in the BBL - where his adaptability at moving from the top order to the middle was noted by selectors - and having continued to flay runs in county cricket for Leicestershire he was named in Australia's 2021 T20 World Cup despite not being part of any of the previous series.
ESPNcricinfo staff"
Sarfaraz Ali(c),Bahrain,Right hand Bat,Right arm Medium,Allrounder,
Abdul Majid,Bahrain,Left hand Bat,Slow Left arm Orthodox,Bowler,
Sathaiya Veerapathiran,Bahrain,Right hand Bat,Right arm Medium,Allrounder,
Dean Foxcroft,New Zealand,Right hand Bat,Right arm Offbreak,Allrounder,
Moazzam Baig,Malawi,Right hand Bat,Right arm Offbreak,,
Obed Harvey,Ghana,Left hand Bat,Left arm Medium,,
Darren Roache,Samoa,Left hand Bat,Right arm Offbreak,,
Mohammed Aslam,Kuwait,Right hand Bat,Left arm Slow,Allrounder,
Adithya Ashok,New Zealand,Right hand Bat,Legbreak Googly,Bowler,
Ilyas Ahmed,Kuwait,Left hand Bat,Left arm Medium,,
Clinto Anto,Kuwait,Right hand Bat,,,
Yegbeh Jalloh,Sierra Leone,Right hand Bat,Right arm Medium,,
Imran Anwar,Bahrain,Right hand Bat,Left arm Medium,Allrounder,
Imal Liyanage ,Qatar,Left hand Bat,Right arm Medium fast,,
Maene Tuilaepa,Samoa,,,,
David Wiese,Namibia,Right hand Bat,Right arm Medium fast,Allrounder,"David Wiese joined a marked outflow of South Africa players into county cricket in the 2016-17 season when, at 31, he signed a three-year deal with Sussex, joining his compatriot Stiaan van Zyl. Wiese had not played international cricket since March 2016, and turned down a call-up for a home T20I series against Sri Lanka in making his decision to go Kolpak. "
Collins Obuya,Kenya,Right hand Bat,Legbreak,Allrounder,"Collins Obuya hit the headlines as a legspinning allrounder in the 2003 World Cup during Kenya's astonishing march to the semi-finals, where he picked up 13 wickets at 28.76, including 5 for 24 in the victory over Sri Lanka at Nairobi. That won him a one-year contract with Warwickshire, but he failed to make any impression.  He missed his next chance on the big stage when appendicitis ruled him out of the 2004 Champions Trophy, and he then joined the players' strike which followed before heading to South Africa to play club cricket.  His continued to struggle with his bowling, and in November 2005 he went to Australia for five weeks to spend time with Terry Jenner in a bid to recapture it.  That failed, and Obuya had to develop his batting and he now plays as a specialist batsman and a very good fielder.
Martin Williamson February 2007
"
Ronald Tari,Vanuatu,Right hand Bat,Right arm Medium,,
Haider Butt,Bahrain,Right hand Bat,Right arm Offbreak,Middle order Batter,
Moeen Ali(c),England,Left hand Bat,Right arm Offbreak,Batting Allrounder,"Moeen Ali was tipped for the top long before he won his Test debut at the start of 2014. But, after building a reputation as an elegant batter, it was his offspin bowling that earned him the call-up when England were left reeling from the surprise retirement of Graeme Swann."
Raymond Coker,Sierra Leone,Left hand Bat,Legbreak,,
Azin Rafeeg,Maldives,Right hand Bat,Right arm Medium fast,,
Peter Langat,Kenya,Right hand Bat,Right arm Medium,Bowler,
Mahedi Hasan,Bangladesh,Right hand Bat,Right arm Offbreak,Allrounder,"By the time Mahedi Hasan earned his maiden ODI call-up in January 2021, he had already played 159 domestic matches for ten different teams in the first-class, List-A and T20 tournaments. He has now emerged as one of several contenders for the all-rounders' spots in Bangladesh's white-ball teams, having already played in three separate T20I series from 2018 to 2020. "
Shoriful Islam,Bangladesh,Left hand Bat,Left arm Medium fast,Bowler,"At 6ft three inches, Shoriful Islam became a left-arm pace sensation almost overnight, when he starred in Bangladesh's 2020 Under-19 World Cup triumph. He took nine wickets, but it was his aggression and pace in the knockout games against South Africa, New Zealand and (in the final against) India that stood out."
Luke Ward,Isle of Man,Right hand Bat,,,
Usman Patel ,Kuwait,Right hand Bat,,Wicketkeeper Batter,
Tholal Mohamed Raya,Maldives,Right hand Bat,,,
Junior Kaltapau,Vanuatu,Right hand Bat,Right arm Offbreak,,
Reece Topley,England,Right hand Bat,Left arm Fast medium,Bowler,"A left-arm seamer with a fearsome yorker but a chequered injury history, Reece Topley's career was in peril before his 25th birthday as he suffered a series of stress fractures that left him wondering whether he would ever be able to play again."
Wataru Miyauchi ,Japan,Right hand Bat,,Wicketkeeper Batter,
Shoriful Islam,,Left hand Bat,Left arm Medium fast,Bowler,"At 6ft three inches, Shoriful Islam became a left-arm pace sensation almost overnight, when he starred in Bangladesh's 2020 Under-19 World Cup triumph. He took nine wickets, but it was his aggression and pace in the knockout games against South Africa, New Zealand and (in the final against) India that stood out."
Mohammed Siraj,India,Right hand Bat,Right arm Fast,Bowler,"Mohammed Siraj's rise as a seamer was remarkably swift. The son of an autorickshaw driver in Hyderabad, he only began playing the game in class seven. It was in 2015 that he first bowled with a cricket ball. In 2017, he bagged an IPL contract worth INR 2.6 crore. Months later, he was wearing an India shirt and bowling in a T20 international against New Zealand. "
Omid Mailk Khel ,Belgium,Right hand Bat,,,
Mark Pavlovic(c),Serbia,Right hand Bat,Right arm Medium fast,,
Naseer Naail Ismail,Maldives,Right hand Bat,Right arm Medium fast,,
Maxi Koda,,Right hand Bat,Right arm Medium fast,,
Kane Richardson,Australia,Right hand Bat,Right arm Fast medium,Bowler,"A pace bowler who has often been on the fringes of Australia's ODI and T20 teams, Kane Richardson is know for his skills at the death and has an excellent yorker. Although he has struggled to gain much traction at first-class level for South Australia, Richardson is very effective in the shorter forms and in 2019 was a late addition to the World Cup squad."
Kusal Mendis ,Sri Lanka,Right hand Bat,Legbreak,Wicketkeeper Batter,"Blessed with a compact technique, an aggressive impulse, and an iron resolve, Kusal Mendis rose rapidly through the age-group system, and quickly became one of the most promising young batsmen in the world. He had played only 16 first-class innings before he made his Test debut at the age of 20, and had hit only one first-class hundred before he made a maiden Test ton. That hundred - the 176 against Australia at Pallekele - was a match-flipping, series-defining knock, which given the fact no other batsman mustered more than 55 in the game, is one of the greatest ever Sri Lankan innings. Since then, Mendis has put together some impressive ODI innings as well, and has embedded himself in the Test top four. "
Mohammed Aslam(c),Kuwait,Right hand Bat,Left arm Slow,Allrounder,
Tumursukh Turmunkh,Mongolia,Right hand Bat,Right arm Medium,,
Neil Mugabe,Kenya,Right hand Bat,,,
Boemo Khumalo,Botswana,Right hand Bat,Right arm Medium fast,,
Oscar Manishimwe ,Rwanda,Right hand Bat,,,
Abass Gbla,Sierra Leone,Right hand Bat,Right arm Medium,,
Hussain Saadhin,Maldives,Right hand Bat,Right arm Medium fast,,
Michael van Lingen,Namibia,Left hand Bat,"Left arm Medium, Slow Left arm Orthodox",Bowling Allrounder,
Padmakar Surve,,Right hand Bat,,,
Samuel Conteh,Sierra Leone,Right hand Bat,Right arm Medium,,
Mohan Manivannan,Cayman Islands,Right hand Bat,Right arm Medium,,
Francis Mutua,Kenya,,,,
Fayyaz Butt,Oman,Right hand Bat,Right arm Medium fast,Bowler,"A part of Pakistan's pace arsenal in the Under-19 World Cup in New Zealand, Fayyaz Butt compares his style of play to Brett Lee and, like many aspiring professional cricketers in Pakistan, wants to emulate Imran Khan.
Cricinfo Staff, January 2010. "
Washington Sundar,India,Left hand Bat,Right arm Offbreak,Bowling Allrounder,"Like R Ashwin from Tamil Nadu before him, Washington Sundar went from being a batsman as a youngster to making his name as an offspinner. After representing India at the 2016 Under-19 World Cup, he replaced Ashwin at Rising Pune Supergiant in the 2017 IPL, and bowled at an impressive economy rate to help his side to the final."
Amit Halbhavi ,Luxembourg,Right hand Bat,,,
Mehran Khan,Oman,Right hand Bat,Right arm Medium fast,Batter,
Stefano di Bartolomeo,Italy,Right hand Bat,Right arm Medium,,
Kulwinderjeet Singh,Philippines,Right hand Bat,Right arm Medium,,
Nelson Odhiambo,Kenya,Right hand Bat,Right arm Medium fast,Bowler,"Named after the pre-eminent African leader of the 20th century, Nelson Mandela Odhiambo is a medium-fast seamer who represented Kenya Under-19s and Kenya A before cracking into the senior side during the Tri-series against Uganda and Scotland. His uncle, allrounder Thomas Odoyo, is one of the finest cricketers to have represented Kenya and Odhiambo had the honour of opening the bowling with him for the first time during the World Cricket League Division One tournament in Netherlands in July 2010. Though his bowling has already shown promise, Odhiambo is an unabashed tailender with a high score of 7 across all formats.
Liam Brickhill July 2010"
Norman Vanua,Papua New Guinea,Right hand Bat,Right arm Medium,Bowler,
Cyrus Kakuru ,Uganda,Right hand Bat,,Wicketkeeper Batter,
Rushab Patel,Kenya,Left hand Bat,Right arm Medium fast,Batter,
Matthew Ansell,,Right hand Bat,Slow Left arm Orthodox,Bowler,
Kinchit Shah,Hong Kong,Left hand Bat,Right arm Offbreak,Top order Batter,
Simpson Obed,Vanuatu,Right hand Bat,Legbreak,,
Alusine Turay,Sierra Leone,Right hand Bat,Legbreak,,
Kyle Jamieson,New Zealand,Right hand Bat,Right arm Fast medium,Bowler,"The first thing that strikes you about Kyle Jamieson is his height. At 6'8"", he is one of the tallest fast bowlers in the circuit. And like most people who send a cricket ball down from such awkward heights, he is known for getting awkward bounce. So much so that batsmen forget that he has a phenomenal fuller delivery. Especially when it starts to hoop in at the stumps. "
Paul Rarotoga,Samoa,Right hand Bat,Right arm Medium,,
Kadek Darmawan,Indonesia,Right hand Bat,,,
Anthony Mosca,Italy,Right hand Bat,,,
Williamsing Nalisa,Vanuatu,Right hand Bat,Legbreak Googly,,
Shogo Kimura,Japan,Left hand Bat,,Batter,
Sitanisilao Toutai(c),Samoa,Right hand Bat,Right arm Medium,,
Rishad Hossain,Bangladesh,Right hand Bat,Legbreak Googly,Bowler,
Manpreet Singh ,Italy,Right hand Bat,,Wicketkeeper Batter,
Danyal Raja,Bulgaria,Right hand Bat,Right arm Medium,,
Womejo Wotu,Vanuatu,Right hand Bat,,,
Tanzeel Sheikh,Kenya,Right hand Bat,Right arm Medium,,
Sundeep Jora,Nepal,Right hand Bat,,Middle order Batter,
Adwitya Bhargava,Singapore,Right hand Bat,Right arm Medium,,
Ibrahim Sesay,Sierra Leone,Right hand Bat,Right arm Medium,,
GianPiero Meade,Italy,Right hand Bat,Right arm Medium fast,,
Sarfaraz Ali,Bahrain,Right hand Bat,Right arm Medium,Allrounder,
Irfan Karim ,Kenya,Left hand Bat,Right arm Offbreak,Wicketkeeper Batter,
George Sesay,Sierra Leone,Right hand Bat,Right arm Medium,,
Matthew Faatea,Samoa,,,,
Jaspreet Singh,Italy,Right hand Bat,Right arm Fast medium,,
Ravija Sandaruwan,Kuwait,Right hand Bat,Right arm Offbreak,Allrounder,
Josef Pita,Samoa,Right hand Bat,Right arm Medium,,
Matthew Stokes(c),Guernsey,Right hand Bat,Right arm Medium,,
Mirza Mohammed Baig,Qatar,Left hand Bat,,,
John Bangura ,Sierra Leone,Right hand Bat,Right arm Offbreak,,
Qamar Mushtaque,Norway,Right hand Bat,Right arm Medium fast,,
Harry Manenti,Italy,Right hand Bat,Right arm Medium fast,,
Marcus Campopiano,Italy,Right hand Bat,Right arm Offbreak,,
Kagiso Rabada,South Africa,Left hand Bat,Right arm Fast,Bowler,
Emmanuel Bundi,Kenya,Right hand Bat,Right arm Medium fast,Bowler,
Rakep Patel,Kenya,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter,"One of Kenyan cricket's clutch of promising youngsters, Rakep Patel is an aggressive right-handed batsman and occasional offspinner. Patel's first outing for Kenya came on his first-class debut, aged 17, for Kenya Select XI against Westerns in Zimbabwe's Logan Cup competition. Patel started his career in the lower middle order, but has since moved up the order and his best ODI performance to date came as an opener when he cracked 92 to help seal a six-wicket win over Netherlands in Nairobi in February 2010. He had to pull out of Kenya's squad for their Intercontinental Cup game against Canada in August 2009 when his father passed away, and captain Maurice Ouma dedicated the victory in that game ""to my team-mate's dad"". Unafraid to play his shots when the situation warrants, Patel smashed 71 from just 29 balls, including eight sixes, in a 50-over match against Uganda in December 2009. But he is also developing as a batsman in the longer forms of the game, and his 87 helped Kenya chase down a target of 320 in their second innings in an Intercontinental Cup game against Netherlands in February 2010. As Kenya look to rebuild after a turbulent period and re-assert their status as the leading Associate nation, Patel could be an important part of their plans.
Liam Brickhill    "
